Id,Method,Order,Dump,D0,D1,Ellapsed,MeanErr,StdErr,M3Err,M4Err,M5Err,M6Err,Lag1Err,Lag2Err,Lag3Err,Lag4Err,Lag5Err,Lag6Err,Lag7Err
0,opt,2.0,video_03.pcapng,"[[-9.90416992e-01  1.08992129e-08]
 [ 1.10617022e-03 -5.37109400e-03]]","[[9.90362561e-01 5.44201494e-05]
 [4.14255284e-03 1.22370944e-04]]",3.0985047817230225,0.02010086975464501,0.004500227534245073,1.8023513252014113e-08,0.1315709873752728,0.2748316763658811,0.4228680339919102,0.019528765006336102,,,,,,0.9999999995362807
1,em,2.0,video_03.pcapng,"[[-0.98838702  0.        ]
 [ 0.         -1.01241236]]","[[0.50543936 0.48294765]
 [0.51619123 0.49622114]]",6.891218900680543,3.0670308515101412e-09,0.5517933295629184,0.8607161533344427,0.9301931181679576,0.9517799442854656,0.961156274213029,0.9999485943949488,,,,,,1.0000000000002318
2,indi,2.0,video_03.pcapng,"[[-0.98838795  0.        ]
 [ 0.         -1.01241165]]","[[9.88430510e-01 0.00000000e+00]
 [5.14126674e-06 1.01244531e+00]]",0.16861486434936526,0.011748473901114756,0.5465928924699189,0.8591000705461737,0.9293882413081268,0.9512274692071024,0.9607140471634448,0.9898567768540204,,,,,,0.6852525816381151
3,opt,3.0,video_03.pcapng,"[[-5.73836567e-01  3.00683978e-02  2.39436631e-01]
 [ 7.86294743e-03 -1.35901405e-02  2.88214465e-03]
 [ 3.80279974e-03  2.40142572e-07 -4.10619242e-01]]","[[5.24135542e-02 6.21968141e-04 2.51296016e-01]
 [1.14408107e-09 1.74194780e-08 2.84502987e-03]
 [6.16734582e-03 1.34104724e-09 4.00648855e-01]]",15.03685212135315,1.577723651837901,1.1506752099319888,0.2250652950186684,0.04676929333936477,1.660186716891528e-05,1.1912363750011856e-09,0.7094487880985317,,,,,,0.9999994891606416
4,em,3.0,video_03.pcapng,"[[-0.0063397   0.          0.        ]
 [ 0.         -2.02301472  2.02301472]
 [ 0.          0.         -2.02301472]]","[[1.92864844e-08 6.33967737e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.46840127e-04 2.02286788e+00 0.00000000e+00]]",34.892863988876336,2.574711415180999e-07,0.09506002099977026,0.0831740735536106,0.01610968415731555,0.1303094516333442,0.2509275943570322,1.0071636689739936,,,,,,1.0000000000079878
5,indi,3.0,video_03.pcapng,"[[-0.00633998  0.          0.        ]
 [ 0.         -2.02301474  2.02301474]
 [ 0.          0.         -2.02301474]]","[[6.20027036e-05 6.27797580e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.45407868e-04 2.02286933e+00 0.00000000e+00]]",0.3373031616210937,3.790301406068881e-13,0.09508639273846498,0.08320775375811755,0.016070348186101424,0.13026439595524264,0.2508767726464619,1.0898325132417603e-12,,,,,,1.0000000000023312
6,opt,4.0,video_03.pcapng,"[[-8.24237066e-01  5.88792268e-05  1.45626031e-02  1.16099643e-01]
 [ 6.94592831e-04 -2.33617467e-02  1.50132737e-02  4.33757361e-03]
 [ 1.59871937e-01  1.09355655e-01 -5.79109423e-01  1.70702875e-01]
 [ 3.36363216e-01  1.96207119e-02  7.29712908e-02 -8.04615959e-01]]","[[5.80002457e-01 1.17491281e-06 9.30001640e-04 1.12582308e-01]
 [3.31626785e-03 4.14764513e-09 3.12622891e-09 3.15034914e-08]
 [1.01767207e-01 1.40503534e-06 7.16611472e-06 3.74031785e-02]
 [3.29723477e-01 4.50260649e-06 3.36544678e-04 4.55962155e-02]]",36.996125221252434,1.5218694359516824,3.2798976801634154,0.8418653560471068,0.2875914647313776,0.08638854478331602,1.8592872233433013e-05,1.075421607787027,,,,,,1.0000000000054154
7,em,4.0,video_03.pcapng,"[[-0.00846905  0.          0.          0.        ]
 [ 0.         -3.03497184  3.03497184  0.        ]
 [ 0.          0.         -3.03497184  3.03497184]
 [ 0.          0.          0.         -3.03497184]]","[[2.88079262e-06 8.46617334e-03 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [2.98613191e-04 3.03467322e+00 0.00000000e+00 0.00000000e+00]]",91.35264897346495,2.5666200853526267e-07,0.21775416229328715,0.2402413313602612,0.1792036846377385,0.10075155697980437,0.01484088565305816,0.9747832750167772,,,,,,0.99999999999825
8,indi,4.0,video_03.pcapng,"[[-0.00846449  0.          0.          0.        ]
 [ 0.         -3.03497135  3.03497135  0.        ]
 [ 0.          0.         -3.03497135  3.03497135]
 [ 0.          0.          0.         -3.03497135]]","[[8.19728556e-05 8.38252083e-03 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 4.01952303e-23 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 2.37705225e-16 0.00000000e+00 0.00000000e+00]
 [2.95650600e-04 3.03467570e+00 0.00000000e+00 0.00000000e+00]]",0.4275546073913574,1.082689493614052e-12,0.21757855320909286,0.2399793168016109,0.17888036798217447,0.100371281971876,0.014405252678278769,8.701047889465873e-11,,,,,,0.9999999999625808
9,opt,5.0,video_03.pcapng,"[[-5.90102609e-01  1.75402422e-03  2.67211994e-07  7.48091487e-04
   1.68013774e-03]
 [ 5.87060045e-02 -7.30690679e-01  2.19912871e-01  2.31378799e-01
   2.07905593e-01]
 [ 1.75170379e-03  5.76788318e-02 -2.57583832e-01  1.22808630e-01
   7.53444500e-02]
 [ 1.01145865e-02  1.00377593e-01  2.24251780e-01 -4.53390211e-01
   1.18595225e-01]
 [ 4.11805655e-02  1.61542006e-01  2.33541013e-01  2.14089097e-01
  -6.54097397e-01]]","[[5.84987182e-01 7.09546450e-04 3.51378630e-08 4.70880663e-09
  2.23319751e-04]
 [1.27610757e-02 6.06865909e-06 4.63288770e-06 1.00371826e-05
  5.59620744e-06]
 [5.36933833e-08 7.80926888e-08 1.67051370e-08 2.11347046e-08
  4.75400445e-08]
 [5.03048059e-05 2.62079718e-07 2.53197245e-08 1.77552160e-07
  2.57524541e-07]
 [3.73835576e-03 5.64009540e-07 7.05550861e-07 1.78895452e-06
  3.30087400e-06]]",82.98668193817139,1.1708739239561108,2.374971914585183,0.6253685047188915,0.20938731985389736,0.059500644193146324,1.2746587506258135e-05,0.9934542208127948,,,,,,1.0000000000000964
10,em,5.0,video_03.pcapng,"[[-0.14879946  0.          0.          0.          0.        ]
 [ 0.         -4.06487412  4.06487412  0.          0.        ]
 [ 0.          0.         -4.06487412  4.06487412  0.        ]
 [ 0.          0.          0.         -4.06487412  4.06487412]
 [ 0.          0.          0.          0.         -4.06487412]]","[[1.19738172e-01 2.90612847e-02 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [2.17310215e-03 4.06270101e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]]",164.13879227638245,0.00030036557067847336,0.6979453411109453,0.8551370401978291,0.8921796207126923,0.9004950707450899,0.9024432177641442,36.35389339994142,,,,,,43.77379068694878
11,indi,5.0,video_03.pcapng,"[[-0.01962597  0.          0.          0.          0.        ]
 [ 0.         -4.04904527  4.04904527  0.          0.        ]
 [ 0.          0.         -4.04904527  4.04904527  0.        ]
 [ 0.          0.          0.         -4.04904527  4.04904527]
 [ 0.          0.          0.          0.         -4.04904527]]","[[ 2.08274029e-04  1.94176990e-02  0.00000000e+00  0.00000000e+00
   0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]
 [ 0.00000000e+00 -8.83263522e-23  0.00000000e+00  0.00000000e+00
   0.00000000e+00]
 [ 9.71411263e-04  4.04807386e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]]",0.5765848159790039,1.239008895481216e-13,0.4551109184704029,0.5561666579148012,0.5562620414000656,0.5352843307006696,0.5059586410143861,6.710274906194202e-11,,,,,,0.9999999999448004
12,opt,6.0,video_03.pcapng,"[[-7.04232730e-01  1.99773878e-04  2.33231637e-03  3.76443390e-04
   2.01426667e-04  3.17728000e-08]
 [ 6.72034821e-02 -8.87081705e-01  1.24102431e-01  2.39986290e-01
   1.71249259e-01  2.81948021e-01]
 [ 1.64775852e-01  2.40075927e-01 -1.13643362e+00  2.02848639e-01
   1.82888282e-01  2.48547740e-01]
 [ 1.33368032e-02  1.28856083e-01  6.19390621e-02 -5.91959595e-01
   1.12300776e-01  2.74593601e-01]
 [ 5.37500192e-02  1.65861198e-01  1.42485309e-01  2.03974157e-01
  -8.47138217e-01  2.78281365e-01]
 [ 3.97961123e-08  2.45542638e-02  7.20480695e-03  6.55010682e-02
   2.84375434e-02 -1.25732250e-01]]","[[6.99008269e-01 8.92539468e-05 1.92586373e-03 3.27936030e-06
  9.25241791e-05 3.54819984e-06]
 [2.49963641e-03 7.49226902e-06 7.44688730e-05 1.83542402e-06
  7.97502290e-06 8.13758465e-07]
 [9.41686951e-02 3.32005590e-04 2.39101498e-03 4.00194619e-05
  3.54367757e-04 1.10731454e-05]
 [9.32014818e-04 3.32879072e-07 1.87853210e-07 2.78198645e-07
  3.15383972e-07 1.40608048e-07]
 [2.68928328e-03 7.97073808e-06 7.77531096e-05 1.87457778e-06
  8.47532074e-06 8.10748460e-07]
 [3.44243678e-05 1.04607556e-08 7.62224659e-08 5.65391096e-09
  7.43016177e-09 3.28222269e-09]]",157.92447209358215,0.7725851740263148,1.981407602024153,0.5262154952636752,0.17207830136482896,0.04631070137764722,7.4763120901307865e-06,0.560880303599313,,,,,,0.9999999999998848
13,indi,6.0,video_03.pcapng,"[[-0.05329652  0.          0.          0.          0.          0.        ]
 [ 0.         -5.06911387  5.06911387  0.          0.          0.        ]
 [ 0.          0.         -5.06911387  5.06911387  0.          0.        ]
 [ 0.          0.          0.         -5.06911387  5.06911387  0.        ]
 [ 0.          0.          0.          0.         -5.06911387  5.06911387]
 [ 0.          0.          0.          0.          0.         -5.06911387]]","[[7.00515248e-04 5.25960013e-02 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 2.61229912e-16 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.83975878e-03 5.06527411e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",0.91206693649292,3.90687482365448e-13,0.6232848127805285,0.7566619563943543,0.7820169290333546,0.7845419650692934,0.7795737072511386,7.2244821589267736e-12,,,,,,0.9999999999668636
14,opt,7.0,video_03.pcapng,"[[-5.80570912e-01  1.37392009e-01  1.27937557e-01  3.26528700e-03
   1.03033549e-01  1.33988973e-01  7.49528349e-02]
 [ 1.89352223e-01 -7.54780431e-01  1.56821177e-01  9.55361338e-03
   1.32644605e-01  1.62173087e-01  1.04134210e-01]
 [ 2.22637933e-01  1.73382812e-01 -8.41226281e-01  1.42055006e-02
   1.43373927e-01  1.71121518e-01  1.15989116e-01]
 [ 3.98253516e-04  1.06048087e-04  6.26302092e-04 -7.55275781e-01
   2.37121074e-04  5.85292416e-08  2.27995268e-03]
 [ 2.05098746e-01  1.90056167e-01  1.83881011e-01  2.76117857e-02
  -9.87761921e-01  2.19036107e-01  1.62071821e-01]
 [ 1.97761480e-01  1.75033357e-01  1.60577508e-01  1.09534059e-02
   1.44174192e-01 -7.96219869e-01  1.07557851e-01]
 [ 2.29830037e-01  2.16948477e-01  2.10059171e-01  5.88046773e-02
   2.03623193e-01  2.17723830e-01 -1.15176214e+00]]","[[2.37555522e-08 6.29536765e-08 9.46832471e-08 5.31334778e-09
  1.40516858e-07 7.27632590e-08 3.02073225e-07]
 [6.37774421e-09 6.59451442e-08 1.15961251e-07 1.00852874e-04
  1.09219445e-07 8.26368562e-08 2.83856205e-07]
 [3.55640387e-08 1.13857940e-07 1.84707886e-07 5.14447455e-04
  2.47058953e-07 1.37134636e-07 3.09155496e-07]
 [3.09352192e-06 3.32587411e-06 3.11166911e-06 7.50697250e-01
  1.55638143e-04 3.07160687e-06 7.62554201e-04]
 [2.76677163e-07 7.54877829e-07 1.13650646e-06 4.22236893e-09
  2.31357039e-06 8.66687902e-07 9.31018954e-07]
 [5.80412768e-09 6.72493309e-08 1.19448030e-07 1.61398987e-04
  1.19284327e-07 8.48331202e-08 2.80959006e-07]
 [1.71029855e-06 3.22617406e-06 6.54907623e-06 1.47298942e-02
  2.68187250e-05 4.11277177e-06 4.45130807e-07]]",250.6436150074005,0.6836692644432415,2.004213707062596,0.5339819114141837,0.17514201642814714,0.04740473651000274,8.19081119815856e-06,0.9780262739868721,,,,,,1.0000000000003728
15,indi,7.0,video_03.pcapng,"[[-0.12842163  0.          0.          0.          0.          0.
   0.        ]
 [ 0.         -6.10352554  6.10352554  0.          0.          0.
   0.        ]
 [ 0.          0.         -6.10352554  6.10352554  0.          0.
   0.        ]
 [ 0.          0.          0.         -6.10352554  6.10352554  0.
   0.        ]
 [ 0.          0.          0.          0.         -6.10352554  6.10352554
   0.        ]
 [ 0.          0.          0.          0.          0.         -6.10352554
   6.10352554]
 [ 0.          0.          0.          0.          0.          0.
  -6.10352554]]","[[2.33700543e-03 1.26084627e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.49762538e-02 6.08854928e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00]]",1.7153599262237549,3.730349362739145e-13,0.7071825997048311,0.8433681945469311,0.8782658439605192,0.8868007507437402,0.8886611366588372,2.316558124322288e-12,,,,,,0.9999999999158316
16,opt,8.0,video_03.pcapng,"[[-2.17583925  0.1672436   0.1672436   0.1672436   0.1672436   0.1672436
   0.1672436   0.1672436 ]
 [ 0.1672436  -2.17583925  0.1672436   0.1672436   0.1672436   0.1672436
   0.1672436   0.1672436 ]
 [ 0.1672436   0.1672436  -2.17583925  0.1672436   0.1672436   0.1672436
   0.1672436   0.1672436 ]
 [ 0.1672436   0.1672436   0.1672436  -2.17583925  0.1672436   0.1672436
   0.1672436   0.1672436 ]
 [ 0.1672436   0.1672436   0.1672436   0.1672436  -2.17583925  0.1672436
   0.1672436   0.1672436 ]
 [ 0.1672436   0.1672436   0.1672436   0.1672436   0.1672436  -2.17583925
   0.1672436   0.1672436 ]
 [ 0.1672436   0.1672436   0.1672436   0.1672436   0.1672436   0.1672436
  -2.17583925  0.1672436 ]
 [ 0.1672436   0.1672436   0.1672436   0.1672436   0.1672436   0.1672436
   0.1672436  -2.17583925]]","[[0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]
 [0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]
 [0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]
 [0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]
 [0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]
 [0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]
 [0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]
 [0.12564176 0.12564176 0.12564176 0.12564176 0.12564176 0.12564176
  0.12564176 0.12564176]]",1.0731079578399658,0.005107818523528814,0.5541469071179173,0.8614475417554235,0.9305646724902159,0.9520400467029351,0.961368572993012,1.0000000000000262,,,,,,0.9999999999995364
17,indi,8.0,video_03.pcapng,"[[-0.20785488  0.          0.          0.          0.          0.
   0.          0.        ]
 [ 0.         -7.15380096  7.15380096  0.          0.          0.
   0.          0.        ]
 [ 0.          0.         -7.15380096  7.15380096  0.          0.
   0.          0.        ]
 [ 0.          0.          0.         -7.15380096  7.15380096  0.
   0.          0.        ]
 [ 0.          0.          0.          0.         -7.15380096  7.15380096
   0.          0.        ]
 [ 0.          0.          0.          0.          0.         -7.15380096
   7.15380096  0.        ]
 [ 0.          0.          0.          0.          0.          0.
  -7.15380096  7.15380096]
 [ 0.          0.          0.          0.          0.          0.
   0.         -7.15380096]]","[[4.89042405e-03 2.02964457e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 2.27023882e-23 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [3.94070831e-02 7.11439388e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]",2.684713840484619,3.7136960173697744e-13,0.7357141266808824,0.8679337243918438,0.9075044612851652,0.9177233509801912,0.9212529907822328,3.283799803678585e-12,,,,,,0.9999999998706806
